"foldername";"BETRAG2018";"BUCHUNG2018";"CHECK2018";"BETRAG2019";"BUCHUNG2019";"CHECK2019";"BETRAG2020";"BUCHUNG2020";"CHECK2020";"PROBLEMS";"PATH"
"ste.jt.immo.o13p.w3_pra.nebenkosten.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\5.immo.o13p\ste.jt.immo.o13p.w3_pra.nebenkosten.jahr.dokumente"
"ste.jt.bank.sparh.mast.1680_mastercard.2017.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2017.betrag"
"ste.jt.bank.sparh.mast.1680_mastercard.2019.betrag";"0,00";"0,00";"0";"229,96";"0,00";"1";"0,00";"0,00";"0";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2019.betrag"
"ste.jt.bank.sparh.mast.1680_mastercard.2018.betrag";"1477,61";"0,00";"1";"0,00";"0,00";"0";"0,00";"0,00";"0";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2018.betrag"
"ste.fa.kinder.betreuung.hort.beide.2018.betrag";"0,00";"2472,00";"1";"0,00";"0,00";"0";"3539,50";"0,00";"1";"2";"C:\Users\thome.ARCHLAND\OneDrive\data\FAMILIE\ste.fa.kinder.betreuung\ste.fa.kinder.betreuung.hort.beide.2018.betrag"
"ste.jt.bank.voba.volksbank_bi_gt.jost.jahr.auszug";"61,46";"0,00";"1";"0,00";"0,00";"0";"1076,72";"0,00";"1";"2";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.voba\ste.jt.bank.voba.volksbank_bi_gt.jost.jahr.auszug"
"ste.gt.bank.kskwd.gold.kauf.jahr.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"99772,20";"99772,20";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.gt.bank.kskwd.gold.kauf.jahr.betrag"
"ste.jt.bank.kskwd.deka.depot_jost.jahr.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"10000,00";"0,00";"1";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\DEKA\ste.jt.bank.kskwd.deka.depot_jost.jahr.betrag"
"ste.gt.gesund.pflegeheim.domicil.verwahrgeld.jahr.auszug";"0,00";"0,00";"0";"100,00";"0,00";"1";"1476,27";"0,00";"1";"2";"C:\Users\thome.ARCHLAND\OneDrive\data\GERHARD\ste.gt.gesund.pflegeheim\ste.gt.gesund.pflegeheim.domicil.verwahrgeld.jahr.auszug"
"pri.jt.komm.internet.ionos.v1305_5062_runge.jahr.betrag";"99991,00";"0,00";"1";"99991,00";"0,00";"1";"99991,00";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\FAMILIE\pri.fa.komm\pri.jt.komm.internet.ionos\pri.jt.komm.internet.ionos.v1305_5062_runge.jahr.betrag"
"ste.jt.immo.goeb.whg_12.stadt.jahr.betrag.501001677984_0001";"0,00";"0,00";"0";"0,00";"0,00";"0";"76,07";"0,00";"1";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.stadt.jahr.betrag.501001677984_0001"
"ste.jt.bank.kskwd.gold.kauf.jahr.betrag";"26773,40";"26773,40";"0";"9468,70";"9468,70";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.kskwd.gold.kauf.jahr.betrag"
